name,baseMean,baseMeanControl,baseMeanMetal,foldChange,logFC,logCPM,PValue,FDR,control_gill,control_intestine,control_kidney,control_liver,metal_gill,metal_intestine,metal_kidney,metal_liver
ENSSTUE00000247726,60.25,33.25,87.25,2.61168749680587,1.38498228058245,6.68659111064466,0.152027207998223,1,8,60,55,10,28,225,47,49
ENSSTUE00000514186,12.125,6.5,17.75,2.60843112085569,1.3831823375589,4.56671856140386,0.0373089197316056,1,8,12,2,4,11,27,23,10
ENSSTUE00000095189,11.75,6.25,17.25,2.60691613009523,1.38234416912508,4.53867745237165,0.126789170673556,1,12,2,9,2,24,3,37,5
ENSSTUE00000568262,32.625,18.25,47,2.60638357511397,1.38204941744128,5.84993886707173,0.267420266328194,1,5,15,45,8,3,43,139,3
ENSSTUE00000203654,75.5,42,109,2.59462601411537,1.37552660545634,6.99242719116573,0.142298993608369,1,27,28,22,91,35,89,25,287
ENSSTUE00000178119,6.125,3.25,9,2.58381349015225,1.36950193437251,3.76844958020748,0.0944599677358154,1,8,3,2,0,14,10,10,2
ENSSTUE00000057015,20.875,11.75,30,2.57854456350711,1.36655697902371,5.25534359791916,0.130534131530299,1,5,8,28,6,10,22,78,10
ENSSTUE00000203079,38,21.25,54.75,2.57626756576002,1.36528243652279,6.02068781127237,0.565000456149029,1,0,1,14,70,0,0,52,167
ENSSTUE00000244951,13.75,7.75,19.75,2.57572664226441,1.36497949066689,4.67472786342042,0.0498793268828816,1,3,11,5,12,12,23,9,35
ENSSTUE00000160876,11.375,6.5,16.25,2.51579116447007,1.33101216924109,4.44297859780276,0.107651247064031,1,4,11,1,10,6,15,9,35
ENSSTUE00000264931,38.75,22.25,55.25,2.51458707668574,1.33032151282316,6.04881285461558,0.269298582502737,1,7,27,4,51,8,28,8,177
ENSSTUE00000283658,240.125,136.5,343.75,2.510813701987,1.32815498711582,8.64767259429589,0.225645811250082,1,268,217,30,31,384,782,171,38
ENSSTUE00000094930,19.375,11,27.75,2.50602713328391,1.32540203510759,5.15677489847199,0.117451924746751,1,4,11,21,8,7,11,62,31
ENSSTUE00000375191,16.75,9.5,24,2.50251731132842,1.32338004903381,4.91530317402237,0.130630053594617,1,8,6,8,16,13,7,8,68
ENSSTUE00000326994,16.25,9.25,23.25,2.49322417470902,1.31801260653612,4.90202046277653,0.472175934629671,1,0,12,0,25,1,61,1,30
ENSSTUE00000261471,16.75,9.75,23.75,2.48023894695424,1.31047911697497,4.93322869628374,0.202073692691389,1,3,1,8,27,8,16,15,56
ENSSTUE00000098422,11.625,6.5,16.75,2.47551976664475,1.30773146904417,4.49834770918618,0.0108426530833288,1,6,12,4,4,19,20,14,14
ENSSTUE00000558224,22.125,12.5,31.75,2.4749152481733,1.30737912190594,5.32134770373525,0.0128538504732068,1,9,16,17,8,24,46,24,33
ENSSTUE00000251252,47,27.25,66.75,2.46708456987075,1.30280717102593,6.32758903948549,0.155492809995529,1,23,23,5,58,30,53,24,160
ENSSTUE00000024244,6.75,3.75,9.75,2.45821445113948,1.29761077986834,3.90827733019951,0.0743693802380525,1,4,2,9,0,9,11,14,5
ENSSTUE00000346551,10,5.75,14.25,2.45121576287762,1.29349747985276,4.35226975444178,0.0726567934276141,1,4,7,10,2,11,15,28,3
